Column 1,Reference Designator ,DNP,Part Name,Manufacturer,MPN,Qty,Footprint,Link,Notes,Price,Total Price
1,A1,No,Arduino Pro Mini Socket,SparkFun,DEV-11113,1,Module,Link,5v,11.25,100.07
2,M1,No,Adafruit Ultimate GPS,Adafruit,746,1,Module,Link,,29.95,
3,M2,No,Pololu LV Power Switch,Pololu,2808,1,Module,Link,,4.95,
4,DS1,No,LCD + Varible Resistor,Adafruit,181,1,Module,Link,,9.95,
5,"SW1, SW2, SW3",No,Right Angle Momentary Push Button,C&K,611-KSS223GLFG,3,SMD,Link,,0.97,
6,C1,No,Capacitor,TAIYO YUDEN,MCASL21GBB7106KTNA01,1,SMD,Link,10uF,0.45,
7,C2,No,Capacitor,KYOCERA AVX,KAM21BR71H104JM,1,SMD,Link,.1uF,0.2,
8,R1,No,Resistor,Panasonic,ERJ-S06F2200V,1,SMD,Link,220,0.31,
9,"R2, R3, R4",No,Resistor,KOA Speer,SG73P2ARTTD103G,3,SMD,Link,10K,0.22,
10,J1,Yes,9V Battery Snap-On,Bourns,375-LS-00033,1,N/a,Link,,3.14,
11,J2,Yes,Momentary Push Button,Adafruit,1505,1,N/a,Link,,0.95,
12,J3,No,1x6 Vertical Pin Header,Amphenol FCI,649-68001-406HLF,1,Pin Strip,Link,,0.34,
13,N/a,Yes,3D Modeled Case,N/a,N/a,1,N/a,N/a,,0,
14,N/a,Yes,Battery,"Amazon (Hovxjzk)
",N/a,1,N/a,Link,"9V, 1200mAh",12.9,
15,N/a,Yes,Coin Battery,Murata Electronics,490-18640-ND,2,N/a,Link,CR1220,0.86,
16,N/a,Yes,UART Connector,Adafruit,284,1,N/a,Link,,14.75,
17,N/a,Yes,External Antenna,Adafruit,2461,1,N/a,Link,,3.95,
18,N/a,Yes,1x16 Vertical Pin Header,Elecbee,N/a,1,Pin Strip,Link,,1.69,
19,N/a,N/a,PCB Board,N/a,N/a,5,N/a,Link,,0,